Nombre;Código municipal;Archivo;URL
Ademuz;46001;municipios/ademuz-46001.html;https://tallermap.es/municipios/ademuz-46001.html
Ador;46002;municipios/ador-46002.html;https://tallermap.es/municipios/ador-46002.html
Agost;03002;municipios/agost-03002.html;https://tallermap.es/municipios/agost-03002.html
Agres;03003;municipios/agres-03003.html;https://tallermap.es/municipios/agres-03003.html
Agullent;46004;municipios/agullent-46004.html;https://tallermap.es/municipios/agullent-46004.html
Aielo de Malferit;46042;municipios/aielo-de-malferit-46042.html;https://tallermap.es/municipios/aielo-de-malferit-46042.html
Aielo de Rugat;46043;municipios/aielo-de-rugat-46043.html;https://tallermap.es/municipios/aielo-de-rugat-46043.html
Aigües;03004;municipios/aigues-03004.html;https://tallermap.es/municipios/aigues-03004.html
Aín;12002;municipios/ain-12002.html;https://tallermap.es/municipios/ain-12002.html
Alacant/Alicante;03014;municipios/alacant-alicante-03014.html;https://tallermap.es/municipios/alacant-alicante-03014.html
Alaquàs;46005;municipios/alaquas-46005.html;https://tallermap.es/municipios/alaquas-46005.html
Albaida;46006;municipios/albaida-46006.html;https://tallermap.es/municipios/albaida-46006.html
Albal;46007;municipios/albal-46007.html;https://tallermap.es/municipios/albal-46007.html
Albalat de la Ribera;46008;municipios/albalat-de-la-ribera-46008.html;https://tallermap.es/municipios/albalat-de-la-ribera-46008.html
Albalat dels Sorells;46009;municipios/albalat-dels-sorells-46009.html;https://tallermap.es/municipios/albalat-dels-sorells-46009.html
Albalat dels Tarongers;46010;municipios/albalat-dels-tarongers-46010.html;https://tallermap.es/municipios/albalat-dels-tarongers-46010.html
Albatera;03005;municipios/albatera-03005.html;https://tallermap.es/municipios/albatera-03005.html
Alberic;46011;municipios/alberic-46011.html;https://tallermap.es/municipios/alberic-46011.html
Albocàsser;12003;municipios/albocasser-12003.html;https://tallermap.es/municipios/albocasser-12003.html
Alborache;46012;municipios/alborache-46012.html;https://tallermap.es/municipios/alborache-46012.html
Alboraia/Alboraya;46013;municipios/alboraia-alboraya-46013.html;https://tallermap.es/municipios/alboraia-alboraya-46013.html
Albuixech;46014;municipios/albuixech-46014.html;https://tallermap.es/municipios/albuixech-46014.html
Alcalà de Xivert;12004;municipios/alcala-de-xivert-12004.html;https://tallermap.es/municipios/alcala-de-xivert-12004.html
Alcalalí;03006;municipios/alcalali-03006.html;https://tallermap.es/municipios/alcalali-03006.html
Alcàntera de Xúquer;46016;municipios/alcantera-de-xuquer-46016.html;https://tallermap.es/municipios/alcantera-de-xuquer-46016.html
Alcàsser;46015;municipios/alcasser-46015.html;https://tallermap.es/municipios/alcasser-46015.html
Alcoi/Alcoy;03009;municipios/alcoi-alcoy-03009.html;https://tallermap.es/municipios/alcoi-alcoy-03009.html
Alcoleja;03008;municipios/alcoleja-03008.html;https://tallermap.es/municipios/alcoleja-03008.html
Alcosser;03007;municipios/alcosser-03007.html;https://tallermap.es/municipios/alcosser-03007.html
Alcublas;46018;municipios/alcublas-46018.html;https://tallermap.es/municipios/alcublas-46018.html
Alcudia de Veo;12006;municipios/alcudia-de-veo-12006.html;https://tallermap.es/municipios/alcudia-de-veo-12006.html
Aldaia;46021;municipios/aldaia-46021.html;https://tallermap.es/municipios/aldaia-46021.html
Alfafar;46022;municipios/alfafar-46022.html;https://tallermap.es/municipios/alfafar-46022.html
Alfafara;03010;municipios/alfafara-03010.html;https://tallermap.es/municipios/alfafara-03010.html
Alfara de la Baronia;46024;municipios/alfara-de-la-baronia-46024.html;https://tallermap.es/municipios/alfara-de-la-baronia-46024.html
Alfara del Patriarca;46025;municipios/alfara-del-patriarca-46025.html;https://tallermap.es/municipios/alfara-del-patriarca-46025.html
Alfarb;46026;municipios/alfarb-46026.html;https://tallermap.es/municipios/alfarb-46026.html
Alfarrasí;46027;municipios/alfarrasi-46027.html;https://tallermap.es/municipios/alfarrasi-46027.html
Alfauir;46023;municipios/alfauir-46023.html;https://tallermap.es/municipios/alfauir-46023.html
Alfondeguilla;12007;municipios/alfondeguilla-12007.html;https://tallermap.es/municipios/alfondeguilla-12007.html
Algar de Palància;46028;municipios/algar-de-palancia-46028.html;https://tallermap.es/municipios/algar-de-palancia-46028.html
Algemesí;46029;municipios/algemesi-46029.html;https://tallermap.es/municipios/algemesi-46029.html
Algímia d'Alfara;46030;municipios/algimia-dalfara-46030.html;https://tallermap.es/municipios/algimia-dalfara-46030.html
Algimia de Almonacid;12008;municipios/algimia-de-almonacid-12008.html;https://tallermap.es/municipios/algimia-de-almonacid-12008.html
Alginet;46031;municipios/alginet-46031.html;https://tallermap.es/municipios/alginet-46031.html
Algorfa;03012;municipios/algorfa-03012.html;https://tallermap.es/municipios/algorfa-03012.html
Algueña;03013;municipios/alguena-03013.html;https://tallermap.es/municipios/alguena-03013.html
